SALEDATE,WHSALNAME,CMPNAME,LARGENAME_API,MIDNAME_API,SMALLNAME,AVGAMT,STD,TOTQTY,MY_TARGET_ITEM_NAME,MY_TARGET_LARGENAME,MY_TARGET_MIDNAME,WHSALCD
20250215,천안,천안농협(공),엽경채류,배추,월동배추,14000,12kg 그물망,156,배추,엽경채류,배추,340101
20250215,천안,천안농협(공),엽경채류,배추,기타배추,4075,1kg 상자,15,배추,엽경채류,배추,340101
20250215,천안,천안농협(공),엽경채류,배추,우거지,5000,12kg 상자,12,배추,엽경채류,배추,340101
20250215,천안,천안농협(공),엽경채류,배추,쌈배추,20000,8kg 상자,152,배추,엽경채류,배추,340101
20250217,천안,천안농협(공),엽경채류,배추,월동배추,5000,12kg 그물망,180,배추,엽경채류,배추,340101
20250217,천안,천안청과㈜,엽경채류,배추,저장배추,10142.857,12kg 상자,12948,배추,엽경채류,배추,340101
20250217,천안,천안농협(공),엽경채류,배추,쌈배추,14650,10kg 상자,810,배추,엽경채류,배추,340101
20250217,천안,천안농협(공),엽경채류,배추,쌈배추,16500,8kg 상자,96,배추,엽경채류,배추,340101
20250217,천안,천안농협(공),엽경채류,배추,기타배추,8277.778,1kg 상자,36,배추,엽경채류,배추,340101
20250218,천안,천안농협(공),엽경채류,배추,월동배추,7333.333,12kg 그물망,540,배추,엽경채류,배추,340101
20250218,천안,천안농협(공),엽경채류,배추,쌈배추,15750,8kg 상자,144,배추,엽경채류,배추,340101
20250218,천안,천안농협(공),엽경채류,배추,기타배추,18000,1kg 상자,1,배추,엽경채류,배추,340101
20250218,천안,천안농협(공),엽경채류,배추,쌈배추,5100,10kg 상자,200,배추,엽경채류,배추,340101
20250219,천안,천안농협(공),엽경채류,배추,기타배추,6260,1kg 상자,38,배추,엽경채류,배추,340101
20250219,천안,천안농협(공),엽경채류,배추,월동배추,10000,12kg 그물망,60,배추,엽경채류,배추,340101
20250219,천안,천안농협(공),엽경채류,배추,우거지,5000,4kg 상자,8,배추,엽경채류,배추,340101
20250219,천안,천안농협(공),엽경채류,배추,쌈배추,15000,8kg 상자,96,배추,엽경채류,배추,340101
20250219,천안,천안청과㈜,엽경채류,배추,저장배추,13783.333,12kg 상자,13092,배추,엽경채류,배추,340101
20250220,천안,천안청과㈜,엽경채류,배추,우거지,2630,1kg 상자,9,배추,엽경채류,배추,340101
20250220,천안,천안농협(공),엽경채류,배추,기타배추,7083.333,1kg 상자,9,배추,엽경채류,배추,340101
20250220,천안,천안농협(공),엽경채류,배추,쌈배추,11666.667,8kg 상자,136,배추,엽경채류,배추,340101
20250220,천안,천안농협(공),엽경채류,배추,월동배추,7000,12kg 그물망,600,배추,엽경채류,배추,340101
20250221,천안,천안청과㈜,엽경채류,배추,우거지,23430,1kg 상자,4,배추,엽경채류,배추,340101
20250221,천안,천안농협(공),엽경채류,배추,기타배추,4471.429,1kg 상자,30,배추,엽경채류,배추,340101
20250221,천안,천안농협(공),엽경채류,배추,기타배추,12000,3kg 상자,15,배추,엽경채류,배추,340101
20250221,천안,천안농협(공),엽경채류,배추,월동배추,10000,12kg 그물망,60,배추,엽경채류,배추,340101
20250221,천안,천안청과㈜,엽경채류,배추,저장배추,13440,12kg 상자,11940,배추,엽경채류,배추,340101
20250226,천안,천안농협(공),엽경채류,배추,월동배추,10000,12kg 그물망,60,배추,엽경채류,배추,340101
20250226,천안,천안농협(공),엽경채류,배추,쌈배추,15500,8kg 상자,96,배추,엽경채류,배추,340101
20250226,천안,천안농협(공),엽경채류,배추,기타배추,6060,1kg 상자,26,배추,엽경채류,배추,340101
20250226,천안,천안농협(공),엽경채류,배추,우거지,5000,1kg 상자,4,배추,엽경채류,배추,340101
20250227,천안,천안농협(공),엽경채류,배추,기타배추,5325,1kg 상자,29,배추,엽경채류,배추,340101
