date,MY_TARGET_ITEM_NAME,countyname_api,avg_price
2025-02-03,Cabbage,Gwangju,4770
2025-02-03,Cabbage,Daejeon,4743
2025-02-03,Cabbage,Ulsan,5230
2025-02-03,Cabbage,Sejong,3500
2025-02-03,Cabbage,Suwon,5895
2025-02-03,Cabbage,Seongnam,4460
2025-02-03,Cabbage,Goyang,4460
2025-02-03,Cabbage,Yongin,3500
2025-02-03,Cabbage,Chuncheon,7000
2025-02-03,Cabbage,Gangneung,3990
2025-02-03,Cabbage,Cheongju,5730
2025-02-03,Cabbage,Cheonan,3500
2025-02-03,Cabbage,Jeonju,4860
2025-02-03,Cabbage,Suncheon,5380
2025-02-03,Cabbage,Pohang,5325
2025-02-03,Cabbage,Andong,3500
2025-02-03,Cabbage,Changwon,5250
2025-02-03,Cabbage,Gimhae,3990
2025-02-03,Cabbage,Jeju,5995
2025-02-04,Cabbage,Seoul,4328
2025-02-04,Cabbage,Busan,5742
2025-02-04,Cabbage,Daegu,4860
2025-02-04,Cabbage,Incheon,5415
2025-02-04,Cabbage,Gwangju,4800
2025-02-04,Cabbage,Daejeon,4663
2025-02-04,Cabbage,Ulsan,5275
2025-02-04,Cabbage,Sejong,3500
2025-02-04,Cabbage,Suwon,5775
2025-02-04,Cabbage,Seongnam,4220
2025-02-04,Cabbage,Goyang,4220
2025-02-04,Cabbage,Yongin,3660
2025-02-04,Cabbage,Chuncheon,7000
2025-02-04,Cabbage,Gangneung,3750
2025-02-04,Cabbage,Cheongju,5610
2025-02-04,Cabbage,Cheonan,3660
2025-02-04,Cabbage,Jeonju,6220
2025-02-04,Cabbage,Suncheon,5260
2025-02-04,Cabbage,Pohang,5495
2025-02-04,Cabbage,Andong,3660
2025-02-04,Cabbage,Changwon,5330
2025-02-04,Cabbage,Jeju,5995
2025-02-05,Cabbage,Seoul,4666
2025-02-05,Cabbage,Busan,5728
2025-02-05,Cabbage,Daegu,4913
2025-02-05,Cabbage,Incheon,5415
2025-02-05,Cabbage,Gwangju,4690
2025-02-05,Cabbage,Daejeon,4663
2025-02-05,Cabbage,Ulsan,5275
2025-02-05,Cabbage,Sejong,3500
2025-02-05,Cabbage,Suwon,5775
2025-02-05,Cabbage,Seongnam,4220
2025-02-05,Cabbage,Goyang,4220
2025-02-05,Cabbage,Yongin,3660
2025-02-05,Cabbage,Chuncheon,7000
2025-02-05,Cabbage,Gangneung,3750
2025-02-05,Cabbage,Cheongju,5610
2025-02-05,Cabbage,Cheonan,3660
2025-02-05,Cabbage,Jeonju,5050
2025-02-05,Cabbage,Suncheon,5260
2025-02-05,Cabbage,Pohang,5495
2025-02-05,Cabbage,Andong,3660
2025-02-05,Cabbage,Changwon,5410
2025-02-05,Cabbage,Gimhae,3750
2025-02-05,Cabbage,Jeju,5995
2025-02-06,Cabbage,Seoul,4847
2025-02-06,Cabbage,Busan,5728
2025-02-06,Cabbage,Daegu,4913
2025-02-06,Cabbage,Incheon,5935
2025-02-06,Cabbage,Gwangju,5023
2025-02-06,Cabbage,Daejeon,5037
2025-02-06,Cabbage,Ulsan,5275
2025-02-06,Cabbage,Sejong,3660
2025-02-06,Cabbage,Suwon,5775
2025-02-06,Cabbage,Seongnam,4220
2025-02-06,Cabbage,Goyang,4220
2025-02-06,Cabbage,Yongin,3660
2025-02-06,Cabbage,Chuncheon,7000
2025-02-06,Cabbage,Gangneung,3750
2025-02-06,Cabbage,Cheongju,5655
2025-02-06,Cabbage,Cheonan,3660
2025-02-06,Cabbage,Jeonju,5050
2025-02-06,Cabbage,Suncheon,5260
2025-02-06,Cabbage,Pohang,5995
2025-02-06,Cabbage,Andong,3660
2025-02-06,Cabbage,Changwon,5410
2025-02-06,Cabbage,Gimhae,3750
2025-02-06,Cabbage,Jeju,6495
2025-02-07,Cabbage,Seoul,4867
