date,cabbage,radish,garlic,onion,daikon,cilantro,artichoke,cabbage_pred_Ridge,radish_pred_Ridge,garlic_pred_Ridge,onion_pred_Ridge,daikon_pred_Ridge,cilantro_pred_Ridge,artichoke_pred_Ridge,cabbage_pred_RandomForestRegressor,radish_pred_RandomForestRegressor,garlic_pred_RandomForestRegressor,onion_pred_RandomForestRegressor,daikon_pred_RandomForestRegressor,cilantro_pred_RandomForestRegressor,artichoke_pred_RandomForestRegressor,cabbage_pred_LGBM,radish_pred_LGBM,garlic_pred_LGBM,onion_pred_LGBM,daikon_pred_LGBM,cilantro_pred_LGBM,artichoke_pred_LGBM,cabbage_pred_XGBoost,radish_pred_XGBoost,garlic_pred_XGBoost,onion_pred_XGBoost,daikon_pred_XGBoost,cilantro_pred_XGBoost,artichoke_pred_XGBoost,cabbage_pred_MLP,radish_pred_MLP,garlic_pred_MLP,onion_pred_MLP,daikon_pred_MLP,cilantro_pred_MLP,artichoke_pred_MLP
2021-04-24,2155.45,373.74,4234.35,766.15,2676.22,6842.21,5209.94,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-04-25,2155.45,373.74,4234.35,766.15,2676.22,6842.21,5209.94,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-04-26,1085.04,757.6,4411.42,683.98,2803.16,6683.68,4079.78,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-04-27,2088.52,497.48,4257.18,747.69,2557.91,5804.63,5457.47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-04-28,1304.06,532.73,4283.09,786.06,2625.11,5566.38,5114.39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-04-29,985.09,487.18,5223.29,625.88,2540.24,6301.06,4373.97,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-04-30,1912.83,447.4,4485.2,695.58,2482.17,6129.97,4989.59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-05-01,1174.91,791.24,4436.89,652.6,2359.21,6247.25,4470.83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-05-02,1174.91,791.24,4436.89,652.6,2359.21,6247.25,4470.83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-05-03,1107.53,664.25,4008.5,588.89,2472.54,6253.31,4821.59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-05-04,2296.59,523.51,4523.1,694.57,2549.94,6803.03,5099.29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-05-05,1911.36,767.01,4604.21,686.11,2388.95,6961.89,5291.13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-05-06,1650.55,499.14,4748.78,690.38,2528.9,5842.76,5338.86,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-05-07,2078.75,390.31,4759.21,584.84,2617.19,6081.93,5977.89,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
